accession	protein_id	header	sequence_length	source_db	retrieved_at_utc	query
XP_054437166.1	2466528632	XP_054437166.1 angiotensin-converting enzyme 2 isoform X2 [Pteronotus mesoamericanus]	692	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_054437165.1	2466528628	XP_054437165.1 angiotensin-converting enzyme 2 isoform X1 [Pteronotus mesoamericanus]	803	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_016798469.1	1034190577	XP_016798469.1 angiotensin-converting enzyme 2 isoform X2 [Pan troglodytes]	694	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_016798468.1	1034190575	XP_016798468.1 angiotensin-converting enzyme 2 isoform X1 [Pan troglodytes]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_054327942.1	2463528938	XP_054327942.1 angiotensin-converting enzyme 2 isoform X2 [Pongo pygmaeus]	737	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_054327941.1	2463528936	XP_054327941.1 angiotensin-converting enzyme 2 isoform X1 [Pongo pygmaeus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_008972428.3	2490809742	XP_008972428.3 angiotensin-converting enzyme 2 [Pan paniscus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_054399924.1	2464223791	XP_054399924.1 angiotensin-converting enzyme 2 isoform X1 [Pongo abelii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_063099001.1	2687752555	XP_063099001.1 angiotensin-converting enzyme 2 [Cavia porcellus]	813	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_063099000.1	2687752553	XP_063099000.1 angiotensin-converting enzyme 2 [Cavia porcellus]	813	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_038955583.1	1958807149	XP_038955583.1 angiotensin-converting enzyme 2 isoform X1 [Rattus norvegicus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_038955582.1	1958807147	XP_038955582.1 angiotensin-converting enzyme 2 isoform X1 [Rattus norvegicus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_062939077.1	2676541435	XP_062939077.1 angiotensin-converting enzyme 2 isoform X2 [Cynocephalus volans]	694	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_062939076.1	2676541433	XP_062939076.1 angiotensin-converting enzyme 2 isoform X1 [Cynocephalus volans]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055419565.1	2496516903	XP_055419565.1 angiotensin-converting enzyme 2 [Bubalus kerabau]	803	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_004386381.1	471409617	XP_004386381.1 angiotensin-converting enzyme 2 [Trichechus manatus latirostris]	800	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_062039638.1	2646936212	XP_062039638.1 LOW QUALITY PROTEIN: angiotensin-converting enzyme 2 [Lepus europaeus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_061264084.1	2633909754	XP_061264084.1 angiotensin-converting enzyme 2 isoform X2 [Bos javanicus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_061264083.1	2633909750	XP_061264083.1 angiotensin-converting enzyme 2 isoform X1 [Bos javanicus]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_061035520.1	2625790515	XP_061035520.1 angiotensin-converting enzyme 2 [Eubalaena glacialis]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_060993301.1	2625385966	XP_060993301.1 angiotensin-converting enzyme 2 isoform X2 [Dama dama]	649	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_060993300.1	2625385964	XP_060993300.1 angiotensin-converting enzyme 2 isoform X1 [Dama dama]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_060264273.1	2607287500	XP_060264273.1 angiotensin-converting enzyme 2 isoform X4 [Ovis aries]	743	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_042098229.1	2062937258	XP_042098229.1 angiotensin-converting enzyme 2 isoform X3 [Ovis aries]	750	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_042098228.1	2062937252	XP_042098228.1 angiotensin-converting enzyme 2 isoform X1 [Ovis aries]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_011961657.1	803201330	XP_011961657.1 angiotensin-converting enzyme 2 isoform X2 [Ovis aries]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_060230507.1	2599594250	XP_060230507.1 angiotensin-converting enzyme 2 [Meriones unguiculatus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_060038996.1	2591639489	XP_060038996.1 angiotensin-converting enzyme 2 [Erinaceus europaeus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_060038995.1	2591639487	XP_060038995.1 angiotensin-converting enzyme 2 [Erinaceus europaeus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055987157.1	2506763528	XP_055987157.1 angiotensin-converting enzyme 2 [Sorex fumeus]	796	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059993365.1	2589549859	XP_059993365.1 angiotensin-converting enzyme 2 [Lagenorhynchus albirostris]	549	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059943107.1	2589252212	XP_059943107.1 angiotensin-converting enzyme 2 isoform X2 [Mesoplodon densirostris]	693	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059943105.1	2589252210	XP_059943105.1 angiotensin-converting enzyme 2 isoform X1 [Mesoplodon densirostris]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059767321.1	2586597561	XP_059767321.1 angiotensin-converting enzyme 2 [Balaenoptera ricei]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059767320.1	2586597559	XP_059767320.1 angiotensin-converting enzyme 2 [Balaenoptera ricei]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059535970.1	2579849733	XP_059535970.1 angiotensin-converting enzyme 2 isoform X2 [Myotis daubentonii]	799	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059535969.1	2579849731	XP_059535969.1 angiotensin-converting enzyme 2 isoform X1 [Myotis daubentonii]	819	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059241021.1	2575391274	XP_059241021.1 angiotensin-converting enzyme 2 [Mustela nigripes]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059241020.1	2575391272	XP_059241020.1 angiotensin-converting enzyme 2 [Mustela nigripes]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059106681.1	2572476231	XP_059106681.1 angiotensin-converting enzyme 2 [Peromyscus eremicus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_059013893.1	2567556743	XP_059013893.1 angiotensin-converting enzyme 2 [Mustela lutreola]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_058568772.1	2558915072	XP_058568772.1 angiotensin-converting enzyme 2 isoform X2 [Neofelis nebulosa]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_058568771.1	2558915070	XP_058568771.1 angiotensin-converting enzyme 2 isoform X1 [Neofelis nebulosa]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_058568770.1	2558915068	XP_058568770.1 angiotensin-converting enzyme 2 isoform X1 [Neofelis nebulosa]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_004597549.4	2558373797	XP_004597549.4 angiotensin-converting enzyme 2 [Ochotona princeps]	808	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_058428552.1	2556760322	XP_058428552.1 angiotensin-converting enzyme 2 [Marmota monax]	817	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_046280299.1	2187355634	XP_046280299.1 angiotensin-converting enzyme 2 [Marmota monax]	817	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_058391462.1	2555200268	XP_058391462.1 angiotensin-converting enzyme 2 isoform X2 [Diceros bicornis minor]	694	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_058391461.1	2555200266	XP_058391461.1 angiotensin-converting enzyme 2 isoform X1 [Diceros bicornis minor]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_058297387.1	2552960218	XP_058297387.1 angiotensin-converting enzyme 2 [Hylobates moloch]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_057573710.1	2528724022	XP_057573710.1 angiotensin-converting enzyme 2 isoform X3 [Hippopotamus amphibius kiboko]	654	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_057573709.1	2528724020	XP_057573709.1 angiotensin-converting enzyme 2 isoform X2 [Hippopotamus amphibius kiboko]	723	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_057573708.1	2528724018	XP_057573708.1 angiotensin-converting enzyme 2 isoform X2 [Hippopotamus amphibius kiboko]	723	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_057573707.1	2528724016	XP_057573707.1 angiotensin-converting enzyme 2 isoform X1 [Hippopotamus amphibius kiboko]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_057573706.1	2528724014	XP_057573706.1 angiotensin-converting enzyme 2 isoform X1 [Hippopotamus amphibius kiboko]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_057573705.1	2528724012	XP_057573705.1 angiotensin-converting enzyme 2 isoform X1 [Hippopotamus amphibius kiboko]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_057615966.1	2528567868	XP_057615966.1 angiotensin-converting enzyme 2 [Chionomys nivalis]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_057395041.1	2526720730	XP_057395041.1 angiotensin-converting enzyme 2 [Balaenoptera acutorostrata]	536	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036768816.2	2522890590	XP_036768816.2 angiotensin-converting enzyme 2 [Manis pentadactyla]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_057166214.1	2517552257	XP_057166214.1 angiotensin-converting enzyme 2 isoform X1 [Ursus arctos]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_057166211.1	2517552253	XP_057166211.1 angiotensin-converting enzyme 2 isoform X1 [Ursus arctos]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044247820.1	2118213088	XP_044247820.1 angiotensin-converting enzyme 2 isoform X2 [Ursus arctos]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_056664450.1	2514340250	XP_056664450.1 angiotensin-converting enzyme 2 isoform X3 [Monodelphis domestica]	684	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_056664449.1	2514340248	XP_056664449.1 angiotensin-converting enzyme 2 isoform X2 [Monodelphis domestica]	745	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_056664448.1	2514340246	XP_056664448.1 angiotensin-converting enzyme 2 isoform X2 [Monodelphis domestica]	745	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_007500939.2	2514340244	XP_007500939.2 angiotensin-converting enzyme 2 isoform X1 [Monodelphis domestica]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_056664447.1	2514340242	XP_056664447.1 angiotensin-converting enzyme 2 isoform X1 [Monodelphis domestica]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_007500935.2	2514340240	XP_007500935.2 angiotensin-converting enzyme 2 isoform X1 [Monodelphis domestica]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_007500938.2	2514340238	XP_007500938.2 angiotensin-converting enzyme 2 isoform X1 [Monodelphis domestica]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_007500937.2	2514340236	XP_007500937.2 angiotensin-converting enzyme 2 isoform X1 [Monodelphis domestica]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_007500936.2	2514340234	XP_007500936.2 angiotensin-converting enzyme 2 isoform X1 [Monodelphis domestica]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055471740.1	2496828791	XP_055471740.1 angiotensin-converting enzyme 2 [Psammomys obesus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055294141.1	2492350903	XP_055294141.1 angiotensin-converting enzyme 2 isoform X2 [Moschus berezovskii]	743	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055294140.1	2492350900	XP_055294140.1 angiotensin-converting enzyme 2 isoform X1 [Moschus berezovskii]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055195067.1	2492162434	XP_055195067.1 angiotensin-converting enzyme 2 isoform X2 [Nyctereutes procyonoides]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055195066.1	2492162432	XP_055195066.1 angiotensin-converting enzyme 2 isoform X1 [Nyctereutes procyonoides]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_055195065.1	2492162430	XP_055195065.1 angiotensin-converting enzyme 2 isoform X1 [Nyctereutes procyonoides]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_004612266.1	505837402	XP_004612266.1 angiotensin-converting enzyme 2 [Sorex araneus]	803	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_053058075.1	2437621684	XP_053058075.1 angiotensin-converting enzyme 2 [Acinonyx jubatus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_026910298.1	1512097730	XP_026910298.1 angiotensin-converting enzyme 2 [Acinonyx jubatus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_026910297.1	1512097728	XP_026910297.1 angiotensin-converting enzyme 2 [Acinonyx jubatus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_054576423.1	2472385703	XP_054576423.1 angiotensin-converting enzyme 2 isoform X2 [Eptesicus fuscus]	693	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_008153150.2	2472385701	XP_008153150.2 angiotensin-converting enzyme 2 isoform X1 [Eptesicus fuscus]	811	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_037369021.1	1931274771	XP_037369021.1 angiotensin-converting enzyme 2 [Talpa occidentalis]	802	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_053436341.1	2441796623	XP_053436341.1 angiotensin-converting enzyme 2 [Nycticebus coucang]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_037013451.2	2445316909	XP_037013451.2 angiotensin-converting enzyme 2 [Artibeus jamaicensis]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_047700806.1	2229045844	XP_047700806.1 angiotensin-converting enzyme 2 isoform X2 [Prionailurus viverrinus]	744	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_047700805.1	2229045842	XP_047700805.1 angiotensin-converting enzyme 2 isoform X1 [Prionailurus viverrinus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_047700804.1	2229045840	XP_047700804.1 angiotensin-converting enzyme 2 isoform X1 [Prionailurus viverrinus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_047621781.1	2225093244	XP_047621781.1 angiotensin-converting enzyme 2 [Phacochoerus africanus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_047571539.1	2223438427	XP_047571539.1 angiotensin-converting enzyme 2 isoform X2 [Lutra lutra]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_047571538.1	2223438425	XP_047571538.1 angiotensin-converting enzyme 2 isoform X1 [Lutra lutra]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_047391638.1	2219501738	XP_047391638.1 angiotensin-converting enzyme 2 [Sciurus carolinensis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_047391637.1	2219501736	XP_047391637.1 angiotensin-converting enzyme 2 [Sciurus carolinensis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_046931882.1	2206699438	XP_046931882.1 angiotensin-converting enzyme 2 [Lynx rufus]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_046528602.1	2193297417	XP_046528602.1 angiotensin-converting enzyme 2 [Equus quagga]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_049560409.1	2280728199	XP_049560409.1 angiotensin-converting enzyme 2 isoform X3 [Orcinus orca]	457	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_049560408.1	2280728197	XP_049560408.1 angiotensin-converting enzyme 2 isoform X2 [Orcinus orca]	557	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
